Lat,Lng,Alt,Spd
-117.6310016,-0.13,0.02,308.14
-117.6310023,-0.14,0.01,308.14
-117.6310029,-0.14,0,308.14
-117.6310036,-0.15,0.01,308.14
-117.6310041,-0.16,0.01,308.14
-117.6310047,-0.17,0.02,308.14
-117.6310054,-0.18,0,308.14
-117.631006,-0.19,0.04,308.14
-117.6310064,-0.2,0.04,308.14
-117.6310067,-0.21,0.03,308.14
-117.631007,-0.22,0.02,308.14
-117.6310071,-0.22,0.04,308.14
-117.6310072,-0.23,0.06,308.14
-117.6310072,-0.23,0.04,308.14
-117.6310074,-0.23,0.07,308.14
-117.6310076,-0.23,0,308.14
-117.6310077,-0.23,0.02,308.14
-117.6310076,-0.23,0.06,308.14
-117.6310075,-0.23,0.04,308.14
-117.6310074,-0.23,0.03,308.14
-117.6310075,-0.23,0.03,308.14
-117.6310076,-0.23,0.02,308.14
-117.6310076,-0.24,0.03,308.14
-117.6310076,-0.24,0.04,308.14
-117.6310075,-0.24,0.01,308.14
-117.6310075,-0.24,0.06,308.14
-117.6310074,-0.25,0.04,308.14
-117.6310073,-0.26,0.04,308.14
-117.6310072,-0.28,0.04,308.14
-117.6310071,-0.28,0.04,308.14
-117.6310071,-0.29,0.08,308.14
-117.6310072,-0.3,0.02,308.14
-117.6310071,-0.3,0.07,308.14
-117.6310072,-0.3,0.06,308.14
-117.6310074,-0.3,0.03,308.14
-117.6310075,-0.3,0.01,308.14
-117.6310076,-0.3,0.04,308.14
-117.631008,-0.3,0.04,308.14
-117.6310082,-0.3,0.06,308.14
-117.6310084,-0.3,0.04,308.14
-117.6310086,-0.3,0.07,308.14
-117.6310089,-0.29,0.02,308.14
-117.6310091,-0.28,0.03,308.14
-117.6310094,-0.27,0.09,308.14
-117.6310096,-0.26,0.04,308.14
-117.6310098,-0.24,0.06,308.14
-117.6310099,-0.23,0.02,308.14
-117.63101,-0.22,0.02,308.14
-117.6310101,-0.22,0.03,308.14
-117.6310102,-0.21,0.06,308.14
-117.6310103,-0.21,0.04,308.14
-117.6310103,-0.2,0.08,308.14
-117.6310103,-0.2,0.03,308.14
-117.6310104,-0.2,0.02,308.14
-117.6310105,-0.2,0.04,308.14
-117.6310105,-0.21,0.01,308.14
-117.6310106,-0.22,0.03,308.14
-117.6310108,-0.23,0.09,308.14
-117.6310109,-0.24,0.07,308.14
-117.6310111,-0.26,0.04,308.14
-117.6310113,-0.27,0.09,308.14
-117.6310112,-0.29,0.09,308.14
-117.6310112,-0.3,0.06,308.14
-117.6310113,-0.32,0.06,308.14
-117.6310113,-0.34,0.04,308.14
-117.6310114,-0.36,0.07,308.14
-117.6310114,-0.37,0.02,308.14
-117.6310114,-0.38,0.04,308.14
-117.6310114,-0.39,0.04,308.14
-117.6310114,-0.4,0.04,308.14
-117.6310114,-0.4,0.03,308.14
-117.6310115,-0.41,0.04,308.14
-117.6310115,-0.41,0.03,308.14
-117.6310115,-0.41,0.06,308.14
-117.6310116,-0.4,0.04,308.14
-117.6310117,-0.39,0.02,308.14
-117.6310117,-0.39,0.01,308.14
-117.6310117,-0.37,0.04,308.14
-117.6310117,-0.36,0.04,308.14
-117.6310118,-0.35,0.04,308.14
-117.6310119,-0.35,0.04,308.14
-117.631012,-0.34,0.08,308.14
-117.6310122,-0.34,0.03,308.14
-117.6310123,-0.33,0.02,308.14
-117.6310124,-0.33,0.06,308.14
-117.6310125,-0.33,0.04,308.14
-117.6310125,-0.33,0.09,308.14
-117.6310125,-0.33,0.08,308.14
-117.6310124,-0.32,0.04,308.14
-117.6310123,-0.31,0.04,308.14
-117.6310124,-0.3,0.02,308.14
-117.6310125,-0.29,0.03,308.14
-117.6310126,-0.28,0.06,308.14
-117.6310128,-0.27,0.01,308.14
-117.6310128,-0.26,0.09,308.14
-117.6310128,-0.25,0.06,308.14
-117.6310129,-0.25,0.09,308.14
-117.6310128,-0.25,0.02,308.14
-117.6310128,-0.26,0.07,308.14
-117.6310127,-0.27,0,308.14
-117.6310127,-0.27,0.04,308.14
-117.6310126,-0.28,0.04,308.14
-117.6310125,-0.29,0.04,308.14
-117.6310123,-0.31,0.04,308.14
-117.6310119,-0.34,0.03,308.14
-117.6310117,-0.36,0.03,308.14
-117.6310116,-0.37,0.02,308.14
-117.6310114,-0.38,0.02,308.14
-117.6310113,-0.39,0.02,308.14
-117.6310112,-0.39,0.03,308.14
-117.631011,-0.39,0.01,308.14
-117.6310109,-0.39,0.01,308.14
-117.6310107,-0.38,0.04,308.14
-117.6310106,-0.38,0.04,308.14
-117.6310103,-0.37,0.04,308.14
-117.6310102,-0.37,0.04,308.14
-117.6310102,-0.37,0.04,308.14
-117.6310101,-0.36,0.07,308.14
-117.63101,-0.35,0.03,308.14
-117.6310099,-0.34,0.02,308.14
-117.6310098,-0.33,0.09,308.14
-117.6310097,-0.32,0.02,308.14
-117.6310095,-0.31,0.02,308.14
-117.6310094,-0.29,0.04,308.14
-117.6310093,-0.28,0.04,308.14
-117.6310091,-0.27,0.06,308.14
